pkl,metric,metric_label,metric_p_value_ht_better,metric_observed_mean_delta,metric_n_segments,book_slug,source_lang,source_lang_label,human_variant,human_p_value_ht_better,human_observed_mean_delta,human_n_judgments,spa,hard_pairwise_agreement
hooked_a_novel_of_obsession_ja_en,litransproqa,LitTransProQA,0.9999000099990001,-0.0869271060672196,29,hooked_a_novel_of_obsession,ja,Japanese,participant_similar_quality_as_tie,1.0,-0.5689655172413793,58,0.9999000099990001,True
inner_space_pl_en,litransproqa,LitTransProQA,1.0,-0.10516066212268747,26,inner_space,pl,Polish,participant_similar_quality_as_tie,0.0021997800219978004,0.28846153846153844,52,0.0021997800219978325,False
kokun_the_girl_from_the_west_ja_en,litransproqa,LitTransProQA,1.0,-0.0270305907172996,24,kokun_the_girl_from_the_west,ja,Japanese,participant_similar_quality_as_tie,9.999000099990002e-05,0.8541666666666666,48,9.999000099991662e-05,False
make_me_famous_fr_en,litransproqa,LitTransProQA,0.9997000299970003,-0.08077824660103143,27,make_me_famous,fr,French,participant_similar_quality_as_tie,0.000999900009999,0.37037037037037035,54,0.001299870012998805,False
mona_s_eyes_fr_en,litransproqa,LitTransProQA,0.9933006699330067,-0.027302487996508088,29,mona_s_eyes,fr,French,participant_similar_quality_as_tie,0.6959304069593041,-0.034482758620689655,58,0.7026297370262974,True
my_grandfather_the_master_detective_ja_en,litransproqa,LitTransProQA,1.0,-0.024798619102416597,22,my_grandfather_the_master_detective,ja,Japanese,participant_similar_quality_as_tie,9.999000099990002e-05,0.7272727272727273,44,9.999000099991662e-05,False
my_name_is_stramer_pl_en,litransproqa,LitTransProQA,0.9000099990001,-0.023296007789678684,26,my_name_is_stramer,pl,Polish,participant_similar_quality_as_tie,0.04179582041795821,0.17307692307692307,52,0.14178582141785823,False
needle_s_eye_pl_en,litransproqa,LitTransProQA,1.0,-0.0628354430379747,25,needle_s_eye,pl,Polish,participant_similar_quality_as_tie,9.999000099990002e-05,0.74,50,9.999000099991662e-05,False
sisters_in_yellow_ja_en,litransproqa,LitTransProQA,1.0,-0.058227848101265835,26,sisters_in_yellow,ja,Japanese,participant_similar_quality_as_tie,9.999000099990002e-05,0.5769230769230769,52,9.999000099991662e-05,False
symphony_of_monsters_fr_en,litransproqa,LitTransProQA,1.0,-0.08347127555988318,26,symphony_of_monsters,fr,French,participant_similar_quality_as_tie,9.999000099990002e-05,0.8846153846153846,52,9.999000099991662e-05,False
