split,book,system_folder,pipeline,model,pipeline_model,system_name,metric,score,higher_is_better,num_scored_segments,num_filtered_segments,num_available_segments,path
dev,confidential,confidential_ht,ht,,ht,ht,cometkiwi,0.7491627906976744,True,86,0,86,results_all_metrics/dev/confidential/confidential/confidential_ht/segment_scores.jsonl
dev,confidential,confidential_ht,ht,,ht,ht,metricx-qe,5.271247057027595,False,86,0,86,results_all_metrics/dev/confidential/confidential/confidential_ht/segment_scores.jsonl
dev,confidential,confidential_pipeline1_gemini,pipeline1,gemini,pipeline1_gemini,pipeline1_gemini,comet22,0.8499493975903615,True,83,2,85,results_all_metrics/dev/confidential/confidential/confidential_pipeline1_gemini/segment_scores.jsonl
dev,confidential,confidential_pipeline1_gemini,pipeline1,gemini,pipeline1_gemini,pipeline1_gemini,cometkiwi,0.7728714285714285,True,84,2,86,results_all_metrics/dev/confidential/confidential/confidential_pipeline1_gemini/segment_scores.jsonl
dev,confidential,confidential_pipeline1_gemini,pipeline1,gemini,pipeline1_gemini,pipeline1_gemini,metricx,4.822283750488644,False,84,2,86,results_all_metrics/dev/confidential/confidential/confidential_pipeline1_gemini/segment_scores.jsonl
dev,confidential,confidential_pipeline1_gemini,pipeline1,gemini,pipeline1_gemini,pipeline1_gemini,metricx-qe,4.822564150605883,False,84,2,86,results_all_metrics/dev/confidential/confidential/confidential_pipeline1_gemini/segment_scores.jsonl
dev,confidential,confidential_pipeline1_gpt54_high,pipeline1,gpt54_high,pipeline1_gpt54_high,pipeline1_gpt54_high,comet22,0.8472650602409638,True,83,2,85,results_all_metrics/dev/confidential/confidential/confidential_pipeline1_gpt54_high/segment_scores.jsonl
dev,confidential,confidential_pipeline1_gpt54_high,pipeline1,gpt54_high,pipeline1_gpt54_high,pipeline1_gpt54_high,cometkiwi,0.765972619047619,True,84,2,86,results_all_metrics/dev/confidential/confidential/confidential_pipeline1_gpt54_high/segment_scores.jsonl
dev,confidential,confidential_pipeline1_gpt54_high,pipeline1,gpt54_high,pipeline1_gpt54_high,pipeline1_gpt54_high,metricx,4.738320156222298,False,84,2,86,results_all_metrics/dev/confidential/confidential/confidential_pipeline1_gpt54_high/segment_scores.jsonl
dev,confidential,confidential_pipeline1_gpt54_high,pipeline1,gpt54_high,pipeline1_gpt54_high,pipeline1_gpt54_high,metricx-qe,4.7287179089727855,False,84,2,86,results_all_metrics/dev/confidential/confidential/confidential_pipeline1_gpt54_high/segment_scores.jsonl
dev,confidential,confidential_pipeline2_gemini,pipeline2,gemini,pipeline2_gemini,pipeline2_gemini,comet22,0.8477166666666667,True,84,1,85,results_all_metrics/dev/confidential/confidential/confidential_pipeline2_gemini/segment_scores.jsonl
dev,confidential,confidential_pipeline2_gemini,pipeline2,gemini,pipeline2_gemini,pipeline2_gemini,cometkiwi,0.7694823529411765,True,85,1,86,results_all_metrics/dev/confidential/confidential/confidential_pipeline2_gemini/segment_scores.jsonl
dev,confidential,confidential_pipeline2_gemini,pipeline2,gemini,pipeline2_gemini,pipeline2_gemini,metricx,4.8787167198517745,False,85,1,86,results_all_metrics/dev/confidential/confidential/confidential_pipeline2_gemini/segment_scores.jsonl
dev,confidential,confidential_pipeline2_gemini,pipeline2,gemini,pipeline2_gemini,pipeline2_gemini,metricx-qe,4.932687703300925,False,85,1,86,results_all_metrics/dev/confidential/confidential/confidential_pipeline2_gemini/segment_scores.jsonl
dev,confidential,confidential_pipeline2_gpt54_high,pipeline2,gpt54_high,pipeline2_gpt54_high,pipeline2_gpt54_high,comet22,0.8436788235294117,True,85,0,85,results_all_metrics/dev/confidential/confidential/confidential_pipeline2_gpt54_high/segment_scores.jsonl
dev,confidential,confidential_pipeline2_gpt54_high,pipeline2,gpt54_high,pipeline2_gpt54_high,pipeline2_gpt54_high,cometkiwi,0.7627139534883721,True,86,0,86,results_all_metrics/dev/confidential/confidential/confidential_pipeline2_gpt54_high/segment_scores.jsonl
dev,confidential,confidential_pipeline2_gpt54_high,pipeline2,gpt54_high,pipeline2_gpt54_high,pipeline2_gpt54_high,metricx,4.962686610776324,False,86,0,86,results_all_metrics/dev/confidential/confidential/confidential_pipeline2_gpt54_high/segment_scores.jsonl
dev,confidential,confidential_pipeline2_gpt54_high,pipeline2,gpt54_high,pipeline2_gpt54_high,pipeline2_gpt54_high,metricx-qe,4.844981088194737,False,86,0,86,results_all_metrics/dev/confidential/confidential/confidential_pipeline2_gpt54_high/segment_scores.jsonl
dev,confidential,confidential_pipeline3,pipeline3,,pipeline3,pipeline3,comet22,0.8348470588235295,True,85,0,85,results_all_metrics/dev/confidential/confidential/confidential_pipeline3/segment_scores.jsonl
dev,confidential,confidential_pipeline3,pipeline3,,pipeline3,pipeline3,cometkiwi,0.7576988372093023,True,86,0,86,results_all_metrics/dev/confidential/confidential/confidential_pipeline3/segment_scores.jsonl
dev,confidential,confidential_pipeline3,pipeline3,,pipeline3,pipeline3,metricx,5.149913757346397,False,86,0,86,results_all_metrics/dev/confidential/confidential/confidential_pipeline3/segment_scores.jsonl
dev,confidential,confidential_pipeline3,pipeline3,,pipeline3,pipeline3,metricx-qe,5.2185959316963375,False,86,0,86,results_all_metrics/dev/confidential/confidential/confidential_pipeline3/segment_scores.jsonl
dev,fog,fog_ht,ht,,ht,ht,cometkiwi,0.695483417085427,True,199,0,199,results_all_metrics/dev/fog/fog/fog_ht/segment_scores.jsonl
dev,fog,fog_ht,ht,,ht,ht,metricx-qe,6.753448810875415,False,200,0,200,results_all_metrics/dev/fog/fog/fog_ht/segment_scores.jsonl
dev,fog,fog_pipeline1_gemini,pipeline1,gemini,pipeline1_gemini,pipeline1_gemini,comet22,0.7874242105263158,True,190,1,191,results_all_metrics/dev/fog/fog/fog_pipeline1_gemini/segment_scores.jsonl
dev,fog,fog_pipeline1_gemini,pipeline1,gemini,pipeline1_gemini,pipeline1_gemini,cometkiwi,0.744615306122449,True,196,1,197,results_all_metrics/dev/fog/fog/fog_pipeline1_gemini/segment_scores.jsonl
dev,fog,fog_pipeline1_gemini,pipeline1,gemini,pipeline1_gemini,pipeline1_gemini,metricx,5.921844571226775,False,198,1,199,results_all_metrics/dev/fog/fog/fog_pipeline1_gemini/segment_scores.jsonl
dev,fog,fog_pipeline1_gemini,pipeline1,gemini,pipeline1_gemini,pipeline1_gemini,metricx-qe,5.447963745375374,False,199,1,200,results_all_metrics/dev/fog/fog/fog_pipeline1_gemini/segment_scores.jsonl
dev,fog,fog_pipeline1_gpt54_high,pipeline1,gpt54_high,pipeline1_gpt54_high,pipeline1_gpt54_high,comet22,0.7862916230366492,True,191,0,191,results_all_metrics/dev/fog/fog/fog_pipeline1_gpt54_high/segment_scores.jsonl
dev,fog,fog_pipeline1_gpt54_high,pipeline1,gpt54_high,pipeline1_gpt54_high,pipeline1_gpt54_high,cometkiwi,0.7460005076142131,True,197,0,197,results_all_metrics/dev/fog/fog/fog_pipeline1_gpt54_high/segment_scores.jsonl
dev,fog,fog_pipeline1_gpt54_high,pipeline1,gpt54_high,pipeline1_gpt54_high,pipeline1_gpt54_high,metricx,5.984512338536469,False,199,0,199,results_all_metrics/dev/fog/fog/fog_pipeline1_gpt54_high/segment_scores.jsonl
dev,fog,fog_pipeline1_gpt54_high,pipeline1,gpt54_high,pipeline1_gpt54_high,pipeline1_gpt54_high,metricx-qe,5.65951818883419,False,200,0,200,results_all_metrics/dev/fog/fog/fog_pipeline1_gpt54_high/segment_scores.jsonl
dev,fog,fog_pipeline2_gemini,pipeline2,gemini,pipeline2_gemini,pipeline2_gemini,comet22,0.7951759162303665,True,191,0,191,results_all_metrics/dev/fog/fog/fog_pipeline2_gemini/segment_scores.jsonl
dev,fog,fog_pipeline2_gemini,pipeline2,gemini,pipeline2_gemini,pipeline2_gemini,cometkiwi,0.7521918781725889,True,197,0,197,results_all_metrics/dev/fog/fog/fog_pipeline2_gemini/segment_scores.jsonl
dev,fog,fog_pipeline2_gemini,pipeline2,gemini,pipeline2_gemini,pipeline2_gemini,metricx,5.7754863443686135,False,199,0,199,results_all_metrics/dev/fog/fog/fog_pipeline2_gemini/segment_scores.jsonl
dev,fog,fog_pipeline2_gemini,pipeline2,gemini,pipeline2_gemini,pipeline2_gemini,metricx-qe,5.351678075492382,False,200,0,200,results_all_metrics/dev/fog/fog/fog_pipeline2_gemini/segment_scores.jsonl
dev,fog,fog_pipeline2_gpt54_high,pipeline2,gpt54_high,pipeline2_gpt54_high,pipeline2_gpt54_high,comet22,0.7932706806282723,True,191,0,191,results_all_metrics/dev/fog/fog/fog_pipeline2_gpt54_high/segment_scores.jsonl
dev,fog,fog_pipeline2_gpt54_high,pipeline2,gpt54_high,pipeline2_gpt54_high,pipeline2_gpt54_high,cometkiwi,0.7497847715736041,True,197,0,197,results_all_metrics/dev/fog/fog/fog_pipeline2_gpt54_high/segment_scores.jsonl
dev,fog,fog_pipeline2_gpt54_high,pipeline2,gpt54_high,pipeline2_gpt54_high,pipeline2_gpt54_high,metricx,5.906445041823027,False,199,0,199,results_all_metrics/dev/fog/fog/fog_pipeline2_gpt54_high/segment_scores.jsonl
dev,fog,fog_pipeline2_gpt54_high,pipeline2,gpt54_high,pipeline2_gpt54_high,pipeline2_gpt54_high,metricx-qe,5.648486072570085,False,200,0,200,results_all_metrics/dev/fog/fog/fog_pipeline2_gpt54_high/segment_scores.jsonl
dev,fog,fog_pipeline3,pipeline3,,pipeline3,pipeline3,comet22,0.7905366492146597,True,191,0,191,results_all_metrics/dev/fog/fog/fog_pipeline3/segment_scores.jsonl
dev,fog,fog_pipeline3,pipeline3,,pipeline3,pipeline3,cometkiwi,0.7470989847715737,True,197,0,197,results_all_metrics/dev/fog/fog/fog_pipeline3/segment_scores.jsonl
