issue_type,book,pkl_path,paragraph_id,segment_index,pipeline,system_name,reference_pipeline,gt_length,compared_length,ratio,bleu_score,threshold,low_bleu_repetitions,total_bleu_comparisons,text_preview,reference_text_preview,message,low_bleu_references
length,jackson_alone,par3_dataset/dev/jackson_alone/jackson_alone.pkl,11,11,jackson_alone_pipeline2_gpt54_high,jackson_alone_pipeline2_gpt54_high,gt,43,14,3.071,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,jackson_alone,par3_dataset/dev/jackson_alone/jackson_alone.pkl,11,11,jackson_alone_pipeline1_gpt54_high,jackson_alone_pipeline1_gpt54_high,gt,43,14,3.071,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,the_night_of_baba_yaga,par3_dataset/dev/the_night_of_baba_yaga/the_night_of_baba_yaga.pkl,52,52,the_night_of_baba_yaga_pipeline2_gemini,the_night_of_baba_yaga_pipeline2_gemini,gt,21,65,3.095,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,the_night_of_baba_yaga,par3_dataset/dev/the_night_of_baba_yaga/the_night_of_baba_yaga.pkl,55,55,the_night_of_baba_yaga_pipeline1_gpt54_high,the_night_of_baba_yaga_pipeline1_gpt54_high,gt,93,30,3.100,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
length,voracious,par3_dataset/dev/voracious/voracious.pkl,162,162,voracious_pipeline2_gpt54_high,voracious_pipeline2_gpt54_high,gt,8,27,3.375,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
both,hooked_a_novel_of_obsession,par3_dataset/eval/hooked_a_novel_of_obsession/hooked_a_novel_of_obsession.pkl,24,24,hooked_a_novel_of_obsession_pipeline1_gpt54_high,hooked_a_novel_of_obsession_pipeline1_gpt54_high,gt,62,5,12.400,0.011,length=3.0;bleu=1.5,17,18,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold. Pipeline has low BLEU against 17/18 other pipeline outputs.,[withheld from public GitHub release]
both,hooked_a_novel_of_obsession,par3_dataset/eval/hooked_a_novel_of_obsession/hooked_a_novel_of_obsession.pkl,35,35,hooked_a_novel_of_obsession_pipeline1_gpt54_high,hooked_a_novel_of_obsession_pipeline1_gpt54_high,gt,174,24,7.250,0.010,length=3.0;bleu=1.5,17,18,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold. Pipeline has low BLEU against 17/18 other pipeline outputs.,[withheld from public GitHub release]
both,hooked_a_novel_of_obsession,par3_dataset/eval/hooked_a_novel_of_obsession/hooked_a_novel_of_obsession.pkl,37,37,hooked_a_novel_of_obsession_pipeline1_gpt54_high,hooked_a_novel_of_obsession_pipeline1_gpt54_high,gt,696,134,5.194,0.005,length=3.0;bleu=1.5,18,18,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold. Pipeline has low BLEU against 18/18 other pipeline outputs.,[withheld from public GitHub release]
length,hooked_a_novel_of_obsession,par3_dataset/eval/hooked_a_novel_of_obsession/hooked_a_novel_of_obsession.pkl,89,89,hooked_a_novel_of_obsession_pipeline3,hooked_a_novel_of_obsession_pipeline3,gt,107,35,3.057,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
both,kokun_the_girl_from_the_west,par3_dataset/eval/kokun_the_girl_from_the_west/kokun_the_girl_from_the_west.pkl,65,65,kokun_the_girl_from_the_west_pipeline2_gpt54_high,kokun_the_girl_from_the_west_pipeline2_gpt54_high,gt,7,87,12.429,0.445,length=3.0;bleu=1.5,10,18,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold. Pipeline has low BLEU against 10/18 other pipeline outputs.,[withheld from public GitHub release]
both,kokun_the_girl_from_the_west,par3_dataset/eval/kokun_the_girl_from_the_west/kokun_the_girl_from_the_west.pkl,65,65,kokun_the_girl_from_the_west_pipeline1_gpt54_high,kokun_the_girl_from_the_west_pipeline1_gpt54_high,gt,7,95,13.571,0.466,length=3.0;bleu=1.5,10,18,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold. Pipeline has low BLEU against 10/18 other pipeline outputs.,[withheld from public GitHub release]
both,kokun_the_girl_from_the_west,par3_dataset/eval/kokun_the_girl_from_the_west/kokun_the_girl_from_the_west.pkl,65,65,kokun_the_girl_from_the_west_pipeline1_gemini,kokun_the_girl_from_the_west_pipeline1_gemini,gt,7,76,10.857,0.607,length=3.0;bleu=1.5,9,18,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold. Pipeline has low BLEU against 9/18 other pipeline outputs.,[withheld from public GitHub release]
length,kokun_the_girl_from_the_west,par3_dataset/eval/kokun_the_girl_from_the_west/kokun_the_girl_from_the_west.pkl,76,76,kokun_the_girl_from_the_west_pipeline2_gpt54_high,kokun_the_girl_from_the_west_pipeline2_gpt54_high,gt,7,32,4.571,,3.0,,,[withheld from public GitHub release],[withheld from public GitHub release],Paragraph length ratio exceeds threshold.,
